station,name,lat,lon,elev
50564,Sunwu (China),49.43305556,127.3497222,235
50603,Xin Barag Youqi (China),48.67888889,116.81,556
50632,Bugt (China),48.76666667,121.9166667,739
50658,Keshan (China),48.08305556,125.7830556,291
50727,Arxan (China),47.16666667,119.9330556,1028
50745,Qiqihar (China),47.38305556,123.9166667,148
50756,Hailun (China),47.44527778,126.8741667,220
50774,Yichun (China),47.7,128.8330556,264
50788,Fujin (China),47.23305556,131.9830556,65
50844,Tailai (China),46.39972222,123.45,139
50854,Anda (China),46.38305556,125.3166667,150
50888,Baoqing (China),46.31666667,132.1830556,83
50915,Uliastai (China),45.51666667,116.9666667,840
50949,Qian Gorlos (China),45.08305556,124.8666667,136
50953,Harbin (China),45.93305556,126.5666667,117
50963,Tonghe (China),45.96666667,128.7330556,110
50968,Shangzhi (China),45.21666667,127.9666667,191
50978,Jixi (China),45.29972222,130.9166667,234
50983,Hulin (China),45.75,132.8666667,98
51053,Kaba He (China),48.04972222,86.34972222,534
51076,Altay (China),47.73305556,88.08305556,737
51087,Fuyun (China),47.01666667,89.5,827
51133,Tacheng (China),46.73305556,83,535
51156,Hoboksar (China),46.81,85.74888889,1323
51243,Karamay (China),45.61666667,84.84972222,428
51334,Jinghe (China),44.56666667,82.81666667,330
51379,Qitai (China),44.01666667,89.56666667,794
51463,Wu Lu Mu Qi (China),43.78305556,87.65,936
51495,Shisanjianfang (China),43.21666667,91.73305556,732
51542,Bayanbulak (China),43.03305556,84.15,2459
51573,Turpan (China),42.95,89.22944444,37
51644,Kuqa (China),41.71666667,82.95,1100
51656,Korla (China),41.72916667,85.81833333,903
51709,Kashi (China),39.48305556,75.75,1386
51711,Akqi (China),40.93305556,78.45,1986
51716,Bachu (China),39.79972222,78.56666667,1117
51730,Alar (China),40.60638889,81.25638889,1011
51747,Tazhong (China),39,83.66666667,1100
51765,Tikanlik (China),40.63305556,87.7,847
51811,Shache (China),38.43305556,77.26666667,1232
51818,Pishan (China),37.61666667,78.28305556,1376
51828,Hotan (China),37.13305556,79.93305556,1375
51886,Mangnai (China),38.25,90.84972222,2945
52112,Naomaohu (China),43.75,94.98305556,479
52203,Hami (China),42.81666667,93.51666667,739
52323,Mazong Shan (China),41.79972222,97.03305556,1770
52378,Guaizihu (China),41.36666667,102.3666667,960
52436,Yumenzhen (China),40.26666667,97.03305556,1527
52495,Bayan Mod (China),40.75,104.5,1329
52533,Jiuquan (China),39.76666667,98.48305556,1478
52602,Lenghu (China),38.83305556,93.38305556,2734
52652,Zhangye (China),39.08305556,100.2830556,1462
52681,Minqin (China),38.63305556,103.0830556,1367
52713,Da-Qaidam (China),37.85,95.36666667,3174
52737,Delingha (China),37.36666667,97.36666667,2982
52754,Gangca (China),37.33305556,100.1330556,3301
52787,Wushaoling (China),37.2,102.8666667,3044
52818,Golmud (China),36.41666667,94.9,2809
52836,Dulan (China),36.29972222,98.09972222,3192
52866,Xining (China),36.64972222,101.7166667,2434
52908,Wudaoliang (China),35.21666667,93.08305556,4613
52955,Guinan (China),35.58305556,100.75,3123
52983,Yu Zhong (China),35.86666667,104.15,1875
52996,Huajialing (China),35.38305556,105,2450
53068,Erenhot (China),43.64972222,112,966
53083,Naran Bulag (China),44.61666667,114.15,1183
53149,Mandal (China),42.53305556,110.1330556,1223
53192,Abag Qi (China),44.01666667,115.0030556,1147
53231,Hails (China),41.45,106.3830556,1510
53336,Haliut (China),41.56666667,108.5166667,1290
53352,Bailing-Miao (China),41.7,110.4330556,1377
53391,Huade (China),41.89972222,114,1484
53463,Hohhot (China),40.85,111.5666667,1153
53480,Jining (China),41.03305556,113.0666667,1416
53487,Datong (China),40.08305556,113.4166667,1054
53502,Jartai (China),39.78305556,105.75,1033
53513,Linhe (China),40.73305556,107.3666667,1041
53529,Otog Qi (China),39.1,107.9830556,1381
53543,Dongsheng (China),39.83305556,109.9830556,1459
53564,Hequ (China),39.365,111.2116667,1037
53588,Wutai Shan (China),38.95,113.5166667,2210
53593,Yu Xian (China),39.83305556,114.5666667,910
53614,Yinchuan (China),38.46666667,106.2,1112
53646,Yulin (China),38.26666667,109.7830556,1158
53673,Yuanping (China),38.75,112.7,838
53698,Shijiazhuang (China),38.01666667,114.3830556,89
53705,Zhongning (China),37.48305556,105.6830556,1185
53723,Yanchi (China),37.79972222,107.3830556,1349
53764,Lishi (China),37.5,111.0997222,951
53772,Taiyuan (China),37.61666667,112.5830556,777
53787,Yushe (China),37.06666667,112.9830556,1042
53798,Xingtai (China),37.18055556,114.3588889,184
53845,Yan An (China),36.58305556,109.45,1180
53863,Jiexiu (China),37.03305556,111.9166667,750
53898,Anyang (China),36.04972222,114.1330556,195
53915,Pingliang (China),35.53305556,106.6666667,1348
53923,Xifengzhen (China),35.73305556,107.6330556,1423
53959,Yuncheng (China),35.11138889,111.0663889,376
53975,Yangcheng (China),35.48305556,112.4,659
54012,Xi Ujimqin Qi (China),44.58305556,117.5997222,997
54026,Jarud Qi (China),44.56666667,120.9,266
54027,Lindong (China),43.95,119.3166667,588
54049,Changling (China),44.25,123.9666667,190
54094,Mudanjiang (China),44.5,129.6666667,306
54096,Suifenhe (China),44.38305556,131.15,498
54102,Xilin Hot (China),43.95,116.1166667,1004
54115,Linxi (China),43.63305556,118.0330556,825
54135,Tongliao (China),43.65972222,122.3497222,174
54157,Siping (China),43.18305556,124.3330556,165
54161,Changchun (China),43.89972222,125.2166667,238
54186,Dunhua (China),43.36666667,128.1997222,526
54208,Duolun (China),42.18305556,116.4666667,1247
54218,Chifeng (China),42.29972222,118.8330556,669
54226,Bugt (China),42.33305556,120.7,401
54236,Zhangwu (China),42.41666667,122.5330556,84
54259,Qingyuan (China),42.06666667,124.8666667,230
54273,Huadian (China),42.98305556,126.75,264
54292,Yanji (China),42.86666667,129.5,258
54308,Fengning (China),41.2,116.6330556,661
54311,Weichang (China),41.93305556,117.75,844
54324,Chaoyang (China),41.54972222,120.45,176
54337,Jinzhou (China),41.13305556,121.1166667,70
54342,Shenyang (China),41.73305556,123.5166667,49
54346,Benxi (China),41.31666667,123.7830556,183
54374,Linjiang (China),41.79972222,126.8830556,385
54377,Ji'An (China),41.14972222,126.2166667,225
54386,Changbai (China),41.41666667,128.1830556,775
54401,Zhangjiakou (China),40.78305556,114.8830556,726
54405,Huailai (China),40.41666667,115.5,538
54423,Chengde (China),40.96666667,117.9166667,374
54436,Qinglong (China),40.39972222,118.95,228
54471,Yingkou (China),40.66666667,122.1666667,4
54493,Kuandian (China),40.71666667,124.7830556,261
54497,Dandong (China),40.04972222,124.3330556,14
54511,Beijing (China),39.93305556,116.2830556,55
54527,Tianjin (China),39.1,117.1666667,5
54534,Tangshan (China),39.64972222,118.0997222,23
54539,Leting (China),39.43305556,118.9,12
54602,Baoding (China),38.73305556,115.4830556,17
54618,Potou (China),38.08305556,116.5497222,13
54662,Dalian (China),38.89972222,121.6330556,97
54715,Lingxian (China),37.33305556,116.5666667,19
54725,Huimin (China),37.5,117.5330556,12
54751,Chang Dao (China),37.93305556,120.7166667,43
54753,Longkou (China),37.61666667,120.3166667,5
54776,Chengshantou (China),37.39972222,122.6830556,47
54808,Xinxian (China),36.23305556,115.6666667,38
54823,Jinan (China),36.6,117.0497222,169
54826,Tai Shan (China),36.25,117.0997222,1536
54836,Yiyuan (China),36.18305556,118.15,302
54843,Weifang (China),36.76666667,119.1830556,22
54857,Qingdao (China),36.06666667,120.3330556,77
54863,Haiyang (China),36.76666667,121.1830556,64
54909,Dingtao (China),35.08305556,115.5166667,51
54916,Yanzhou (China),35.53388889,116.8425,43
54929,Fezxzan (China),35.25,118,163
54945,Rizhao (China),35.46972222,119.56,64
55228,Shiquanhe (China),32.5,80.08305556,4279
55299,Nagqu (China),31.48305556,92.06666667,4508
55578,Xigaze (China),29.25,88.88305556,3837
55591,Lhasa (China),29.66666667,91.13305556,3650
55664,Tingri (China),28.63305556,87.08305556,4302
55773,Pagri (China),27.73305556,89.08305556,4301
56004,Tuotuohe (China),34.21666667,92.43305556,4535
56018,Zadoi (China),32.89972222,95.29972222,4068
56021,Qumarleb (China),34.13305556,95.78305556,4176
56029,Yushu (China),33,96.96666667,3716
56033,Madoi (China),34.91666667,98.21666667,4273
56046,Darlag (China),33.75,99.65,3968
56065,Henan (China),34.73305556,101.5997222,3500
56079,Ruo'Ergai (China),33.59416667,102.9555556,3514
56080,Hezuo (China),35,102.9,2910
56096,Wudu (China),33.39972222,104.9166667,1079
56116,Dengqen (China),31.41666667,95.59972222,3874
56137,Qamdo (China),31.14972222,97.16666667,3307
56144,Dege (China),31.73305556,98.56666667,3184
56146,Garze (China),31.61666667,100,3394
56152,Sertar (China),32.28305556,100.3330556,3896
56167,Dawu (China),30.96666667,101.1166667,3009
56172,Barkam (China),31.89972222,102.2330556,2666
56182,Songpan (China),32.66666667,103.5997222,2882
56187,Wenjiang (China),30.75,103.8666667,549
56196,Mianyang (China),31.44972222,104.7330556,522
56247,Batang (China),30,99.09972222,2589
56257,Litang (China),29.98972222,100.23,4008
56287,Ya'An (China),29.98305556,103,629
56312,Nyingchi (China),29.56666667,94.46666667,3001
56357,Daocheng (China),29.05,100.2997222,3729
56374,Kangding (China),30.05,101.9666667,2617
56385,Emei Shan (China),29.51666667,103.3330556,3049
56444,Deqen (China),28.44972222,98.88305556,3320
56462,Jiulong (China),29,101.5,2994
56492,Yibin (China),28.76666667,104.5997222,503
56571,Xichang (China),27.89972222,102.2666667,1599
56586,Zhaotong (China),27.33305556,103.75,1950
56651,Lijing (China),26.83305556,100.2166667,2382
56671,Huili (China),26.46,102.3197222,1811
56684,Huize (China),26.39972222,103.25,2110
56691,Weining (China),26.86666667,104.2830556,2236
56739,Tengchong (China),24.98416667,98.50555556,1696
56748,Baoshan (China),25.04416667,99.16166667,1668
56751,Dali (China),25.69972222,100.1830556,1978
56778,Kunming (China),25.01666667,102.6830556,1892
56786,Zhanyi (China),25.58305556,103.8330556,1900
56838,Ruili (China),24,97.84972222,776
56886,Luxi (China),24.53305556,103.7666667,1708
56946,Gengma (China),23.53,99.39,1144
56951,Lincang (China),23.87972222,100.12,1636
56954,Lancang (China),22.56666667,99.93305556,1054
56959,Jinghong (China),22,100.7830556,553
56964,Simao (China),22.81583333,100.9908333,1416
56966,Yuanjiang (China),23.61666667,101.9666667,507
56969,Mengla (China),21.5,101.5830556,633
56977,Jiangcheng (China),22.6,101.8497222,1270
56985,Mengzi (China),23.44416667,103.3277778,1313
57014,Beidao (China),34.56666667,105.8666667,1085
57025,Fengxiang (China),34.51666667,107.3830556,781
57046,Hua Shan (China),34.48305556,110.0830556,2063
57067,Lushi (China),34.08027778,111.0727778,570
57071,Mengjin (China),34.79972222,112.4666667,329
57083,Zhengzhou (China),34.71666667,113.65,111
57127,Hanzhong (China),33.06666667,107.0330556,509
57131,Jinghe (China),34.43305556,108.9666667,411
57178,Nanyang (China),33.1,112.4830556,181
57193,Xihua (China),33.78,114.5797222,53
57237,Wanyuan (China),32.06666667,108.0330556,674
57245,Ankang (China),32.71666667,109.0330556,291
57259,Fangxian (China),32.03305556,110.7666667,435
57265,Laohekou (China),32.43305556,111.7330556,128
57279,Zaoyang (China),32.14972222,112.6666667,127
57290,Zhumadian (China),32.93305556,113.9166667,107
57297,Xinyang (China),32.13305556,114.0497222,115
57306,Langzhong (China),31.58305556,105.9666667,385
57328,Da Xian (China),31.19972222,107.5,311
57348,Fengjie (China),31.01666667,109.5330556,303
57378,Zhongxiang (China),31.19972222,112.6330556,108
